KdBar,Barcode,Nmbar,KdKel,NmKel,HBeli,HPokok,HJual,markup,StAwal,StMasuk,StKeluar
'8993053141474,'8993053141474,TISSUE PASEO KECIL 10 PCS,TS,TISSU,14000,14000,20000,0,6,0,0
'0024,'0024,TISSUE MITU BABY 20 SHEETS,TS,TISSU,4900,4900,7000,0,9,0,2
'8992931029521,'8992931029521,TISSUE TOILET MULTI,TS,TISSU,3500,3416.67,7000,100,9,26,9
'8995150101696,'8995150101696,M + SUSU KOTAK,SS,SUSU,5600,5600,8000,0,10,0,0
'055500130153,'055500130153,S.O.S APPLE WONDER 4L,PH,PENGHARUM,35000,35000,50000,0,6,0,0
'055500130160,'055500130160,S.O.S LEMON TWIST 4L,PH,PENGHARUM,35000,35000,50000,0,8,0,0
'8992994110112,'8992994110112,YAKULT 5 PCS,BTL,MINUMAN,1700,1700,12500,635.29412,9,5,36
'8996196000905,'8996196000905,PIATTOS BBQ 75G,C,CEMILAN,9000,8607.69,12000,33.33333,6,21,14
'089686598186,'089686598186,CHITATO AYAM BBQ 68G,C,CEMILAN,9500,8800,12000,26.31579,12,3,9
'8990800022550,'8990800022550,MENTOS FRUIT 29G,P,PERMEN,2357,2357,4000,69.70725,34,14,43
'089686060461,'089686060461,POP MIE KARI AYAM 75G,MIE,MIE,4500,4500,7000,55.55556,11,52,61
'ice,'ice,ICE CUBE KECIL,ES,ESKRIM,5000,5000,7000,40,10,0,0
'ess,'ess,ES CUBE KECIL,ES,ESKRIM,5000,5000,7000,40,7,0,8
'8998103011363,'8998103011363,COTTON BUDS CUSSON BABY 50 STI,CTB,CUTTON BUDS,3000,3000,4000,33.33333,5,0,0
'0028,'0028,COTTON BUDS ELISABETH PCS,CTB,CUTTON BUDS,1400,1400,2000,0,5,0,0
'0034,'0034,ISOLASI KECIL BENING,LBN,LAKBAN,1500,1875,3000,0,9,10,2
'749921010414,'749921010414,NUTRI SARI JERUK 11G,BTL,MINUMAN,1100,1100,1500,36.36364,20,0,10
'8993500019912,'8993500019912,MARIMAS JERUK,BTL,MINUMAN,300,300,1500,400,40,0,21
'0035,'0035,MAP KERTAS,ATL,ALAT TULIS,1400,1400,2000,0,7,0,10
'8996001351888,'8996001351888,WAFELLO BUTTER CARAMEL 48G,WFR,WAFFER,1800,1800,3000,66.66667,10,10,25
'8996001318980,'8996001318980,BETTER VANILLA CREAM ISI 10,MKN,MAKANAN,6500,6500,9000,38.46154,4,18,20
'8999999390181,'8999999390181,SUNLIGHT JERUK NIPIS 400ML,PH,PENGHARUM,10000,10000,13000,30,4,0,3
'8998866201995,'8998866201995,CEO COFFEE CARAMEL MACHIATO,KP,COFFEE,1400,1400,2000,0,7,0,11
'8998866201971,'8998866201971,NEO COFFEE MOCCACHINO,KP,COFFEE,1400,1400,2000,0,9,0,23
'8994171101081,'8994171101081,LUWAK KOPI + GULA,KP,COFFEE,1400,1400,2000,0,9,0,68
'8994171101968,'8994171101968,LUWAK WHITE COFFEE TARIKMALAKA,KP,COFFEE,1400,1400,2000,0,9,0,4
'8991002114067,'8991002114067,PIKOPI MOCCACHINO,KP,COFFEE,1400,1400,2000,0,6,0,0
'8998866202626,'8998866202626,TOP COFFEE GULA AREN,KP,COFFEE,1400,1400,2000,0,5,0,8
'8998866203074,'8998866203074,TOP COFFEE BARISTA KOPI + GULA,KP,COFFEE,1400,1400,2000,0,5,0,4
'8998866803281,'8998866803281,TOP COFFEE PLUS,KP,COFFEE,1400,1400,2000,0,6,0,5
'8992946532733,'8992946532733,MINYAK GORENG HEMAT 500ML,SBK,SEMBAKO,10500,10500,14000,33.33333,8,17,21
'089686598018,'089686598018,CHITATO SAPI PANGGANG 15G,C,CEMILAN,1750,1750,2500,42.85714,7,70,40
'089686732009,'089686732009,CHITATO LITE 14G,C,CEMILAN,1750,1750,2500,42.85714,5,70,43
'8997207198871,'8997207198871,COUNTRY INTERNATIONAL,RK,ROKOK,25800,25800,29000,12.4031,6,402,688
'8994755030325,'8994755030325,GOOD TIME DOUBLE CHOC 16G,CKL,COKELAT,875,875,1500,71.42857,7,72,34
'8991001501097,'8991001501097,CHACHA MILK CHOCOLATE 50GR,CKL,COKELAT,8127,8127,10000,23.04663,7,38,20
'4987176092267,'4987176092267,GILLETTE BLUE 2 FLEXI,PCK,PENCUKUR,9800,9800,12000,22.44898,8,24,17
'8994834000218,'8994834000218,GORIORIO VANILLA,C,CEMILAN,450,450,500,11.11111,5,40,16
'8996006858160,'8996006858160,FRUIT TEA BLACKCURRANT,BTL,MINUMAN,3667,3667,5000,36.35124,6,86,116
'8996006858115,'8996006858115,FRUIT TEA FEEZE 350ML,BTL,MINUMAN,3675,3675,5000,36.05442,10,93,50
